id,symbol,mint,mode,status,entrySol,entryPrice,entryAt,exitPrice,exitAt,exitReason,realizedPnlSol,amountTokens
paper-GhUXkqZ7RxqZVmvpvtQS6bdkz3wB6YJafMM7G7hhpump-1781875697637,SOLMASK,GhUXkqZ7RxqZVmvpvtQS6bdkz3wB6YJafMM7G7hhpump,paper,closed,0.02376,1.68507231979863e-7,1781875697637,1.72447000915386e-7,1781875885029,trailing_stop,-0.0000777491512055674,0
paper-8CAt6bpDKZvLxENkbU5bUaYiEtwMfy4kNQ87dSacpump-1781874317064,LAMBO,8CAt6bpDKZvLxENkbU5bUaYiEtwMfy4kNQ87dSacpump,paper,closed,0.02376,1.5438544780381e-7,1781874317064,1.61373164209319e-7,1781874450671,trailing_stop,0.000428605342818595,0
paper-FaPpiuzWZULbCKeh4u2fPHJVtMQ8sCfHT2ehTgyZpump-1781871467745,MPC,FaPpiuzWZULbCKeh4u2fPHJVtMQ8sCfHT2ehTgyZpump,paper,closed,0.02376,1.53544422571423e-7,1781871467745,1.60352415435329e-7,1781871532005,trailing_stop,0.000407255664046861,0
paper-DoRhQenhqNC9K1DBDCmPNHniPsSoE2oyk7zyUjP2pump-1781869787752,NOK,DoRhQenhqNC9K1DBDCmPNHniPsSoE2oyk7zyUjP2pump,paper,closed,0.02376,1.80756794972851e-7,1781869787752,2.09750297200429e-7,1781870003618,trailing_stop,0.00606034952989831,0
paper-7xv3o5bb4zcwvaCdyFToziqt7f3KVBHrL9CKUDDKpump-1781868332077,MOAI,7xv3o5bb4zcwvaCdyFToziqt7f3KVBHrL9CKUDDKpump,paper,closed,0.02376,1.82643087145972e-7,1781868332077,1.53474750097531e-7,1781868371244,trailing_stop,-0.00431447954557147,0
paper-261j6kNbbLSyz1kc24qgUYWcTnUsRhb1DbwAsvoepump-1781854712545,PURR,261j6kNbbLSyz1kc24qgUYWcTnUsRhb1DbwAsvoepump,paper,closed,0.02376,2.53710226715302e-7,1781854712545,2.77565986258446e-7,1781854904738,trailing_stop,0.00155711111673746,0
paper-5crpmGB6srMuBhDDdHdPXFtmYPeP39etanwwvUhMpump-1781847558467,Pepetti,5crpmGB6srMuBhDDdHdPXFtmYPeP39etanwwvUhMpump,paper,closed,0.02376,3.04200009326801e-7,1781847558467,4.51355326180931e-7,1781847620323,trailing_stop,0.0135668957578436,0
paper-HgxF4t3vvpvNAA9M1w8rv199mn5GHQYrgGDab5N9pump-1781845095025,Sloomi,HgxF4t3vvpvNAA9M1w8rv199mn5GHQYrgGDab5N9pump,paper,closed,0.02376,2.81495454325646e-7,1781845095025,2.32321090899033e-7,1781845103449,trailing_stop,-0.00466132985773442,0
paper-5iPJApSBeBuRtBQtBdTZT16mmpVWcvozTJosHGCjpump-1781844225293,QDROID,5iPJApSBeBuRtBQtBdTZT16mmpVWcvozTJosHGCjpump,paper,closed,0.02376,2.42441919740134e-7,1781844225293,2.29023190081199e-7,1781844277214,trailing_stop,-0.00189962431914491,0
paper-pQ7VeXJGCE8LEBLUUoLGFqiLNJJfJH6Pj2vRPj8pump-1781839158077,GWF,pQ7VeXJGCE8LEBLUUoLGFqiLNJJfJH6Pj2vRPj8pump,paper,closed,0.02376,3.10842501886086e-7,1781839158077,3.17790108849691e-7,1781839381521,trailing_stop,-0.00010157355480462,0
paper-7C6uJoLoPHWcC4PcLXBrAFJmzzYUvG5EhLwvzWtSpump-1781834266022,LOOM,7C6uJoLoPHWcC4PcLXBrAFJmzzYUvG5EhLwvzWtSpump,paper,closed,0.02376,1.42817591128384e-7,1781834266022,1.08298095682575e-7,1781834285814,hard_stop,-0.00621210641063998,0
paper-4ofenvShFxs41ySNkDN2pTdXJ2YvepnKSJ2bhQPvpump-1781833485633,FROGGO,4ofenvShFxs41ySNkDN2pTdXJ2YvepnKSJ2bhQPvpump,paper,closed,0.02376,1.44800705859314e-7,1781833485633,1.95274022297453e-7,1781833965761,time_stop,0.00737591844333531,0
